Running_Trial_Num,trial_length,rows,correct_seq,rdy_msg,Intro.thisRepN,Intro.thisTrialN,Intro.thisN,Intro.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Stimuli.thisRepN,Stimuli.thisTrialN,Stimuli.thisN,Stimuli.thisIndex,cont_text.started,cont_text.stopped,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1","['polygon_18', 'polygon_10']",Press SPACE to begin the next trial.,,,,,0,0,0,0,,,,,13.244606900000008,None,"['polygon_18', 'polygon_10']","[0.011666666666666667, 0.3616666666666667]","[-0.20666666666666667, 0.24444444444444444]","[1, 1]","[0, 0]","[0, 0]","[0.6486878999999703, 1.3989604000000213]","['polygon_18', 'polygon_10']",1,1,,001,2019_Oct_09_1236,BLS_Clickable_Boxes,3.2.3,60.01558004458254,
2,2,"2, 3","['polygon_19', 'polygon_2']",Press SPACE to begin the next trial.,,,,,0,1,1,1,,,,,,,"['polygon_19', 'polygon_2']","[0.18222222222222223, -0.13166666666666665]","[-0.17555555555555555, 0.3672222222222222]","[1, 1]","[0, 0]","[0, 0]","[0.5829534000000081, 1.6992693000000259]","['polygon_19', 'polygon_2']",1,1,,001,2019_Oct_09_1236,BLS_Clickable_Boxes,3.2.3,60.01558004458254,
3,2,"4, 5","['polygon_21', 'polygon_8']",Press SPACE to begin the next trial.,,,,,0,2,2,2,,,,,,,"['polygon_21', 'polygon_8']","[-0.4038888888888889, -0.03611111111111111]","[-0.35944444444444446, 0.21944444444444444]","[1, 1]","[0, 0]","[0, 0]","[0.2998916000000236, 1.0829745000000344]","['polygon_21', 'polygon_8']",1,1,,001,2019_Oct_09_1236,BLS_Clickable_Boxes,3.2.3,60.01558004458254,
4,2,"6, 7","['polygon_3', 'polygon_7']","The next trial will have 3 locations.

Press SPACE to begin.",,,,,0,3,3,3,,,,,,,"['polygon_7', 'polygon_3']","[-0.15222222222222223, 0.013888888888888888]","[0.22277777777777777, 0.3638888888888889]","[1, 1]","[0, 0]","[0, 0]","[0.2658430999999837, 0.7997795999999653]","['polygon_7', 'polygon_3']",0,0,,001,2019_Oct_09_1236,BLS_Clickable_Boxes,3.2.3,60.01558004458254,
,,,,,,,,,,,,,,,,,,,"['polygon_4', 'polygon_8', 'polygon_13']","[0.215, 0.012777777777777779, 0.05333333333333334]","[0.35888888888888887, 0.16444444444444445, -0.025]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3321866, 0.8321320000000014, 1.2993214000000535]","['polygon_4', 'polygon_8', 'polygon_13']",0,0,,,,,,,
