Running_Trial_Num,trial_length,rows,correct_seq,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Stimuli.thisRepN,Stimuli.thisTrialN,Stimuli.thisN,Stimuli.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1","polygon_18','polygon_10'",0,0,0,0,,,,,"['polygon_18', 'polygon_10']","[-0.013333333333333334, 0.3794444444444444]","[-0.20944444444444443, 0.2038888888888889]","[1, 1]","[0, 0]","[0, 0]","[0.5136021000007531, 1.6309516999999687]","['polygon_18', 'polygon_10']",0,0,,001,2019_Oct_01_1128,BLS_Clickable_Boxes,3.2.3,60.024838277993524,
2,2,"2, 3","['polygon_19', 'polygon_2']",0,1,1,1,,,,,"['polygon_19', 'polygon_2']","[0.22055555555555556, -0.175]","[-0.18777777777777777, 0.34944444444444445]","[1, 1]","[0, 0]","[0, 0]","[0.4644596999996793, 1.4157385999997132]","['polygon_19', 'polygon_2']",0,0,,001,2019_Oct_01_1128,BLS_Clickable_Boxes,3.2.3,60.024838277993524,
