Running_Trial_Num,trial_length,rows,resp_row,correct_seq,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Stimuli.thisRepN,Stimuli.thisTrialN,Stimuli.thisN,Stimuli.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1",1,"['polygon_18', 'polygon_10']",0,0,0,0,,,,,"['polygon_18', 'polygon_10']","[-0.02722222222222222, 0.4072222222222222]","[-0.22555555555555556, 0.18611111111111112]","[1, 1]","[0, 0]","[0, 0]","[0.38220750000073167, 1.2822599000010086]","['polygon_18', 'polygon_10']",0,0,,001,2019_Oct_01_1218,BLS_Clickable_Boxes,3.2.3,59.98847021574402,
2,2,"2, 3",1,"['polygon_19', 'polygon_2']",0,1,1,1,,,,,"['polygon_19', 'polygon_2']","[0.2011111111111111, -0.19722222222222222]","[-0.17666666666666667, 0.4116666666666667]","[1, 1]","[0, 0]","[0, 0]","[0.38287030000174127, 1.2995534000001498]","['polygon_19', 'polygon_2']",0,0,,001,2019_Oct_01_1218,BLS_Clickable_Boxes,3.2.3,59.98847021574402,
