Running_Trial_Num,trial_length,rows,correct_seq,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Stimuli.thisRepN,Stimuli.thisTrialN,Stimuli.thisN,Stimuli.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1","['polygon_18', 'polygon_10']",0,0,0,0,,,,,"['polygon_18', 'polygon_10']","[-0.005555555555555556, 0.4311111111111111]","[-0.17777777777777778, 0.22]","[1, 1]","[0, 0]","[0, 0]","[0.4474272000002202, 1.2802120000001196]","['polygon_18', 'polygon_10']",0,0,,001,2019_Oct_01_1106,BLS_Clickable_Boxes,3.2.3,60.01111405824367,
2,2,"2, 3","['polygon_19', 'polygon_2']",0,1,1,1,,,,,"['polygon_19', 'polygon_2']","[0.20555555555555555, -0.20166666666666666]","[-0.19555555555555557, 0.3827777777777778]","[1, 1]","[0, 0]","[0, 0]","[0.5329968000000918, 1.6157833000002029]","['polygon_19', 'polygon_2']",0,0,,001,2019_Oct_01_1106,BLS_Clickable_Boxes,3.2.3,60.01111405824367,
