Running_Trial_Num,trial_length,rows,correct_seq,rdy_msg,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Stimuli.thisRepN,Stimuli.thisTrialN,Stimuli.thisN,Stimuli.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1","['polygon_18', 'polygon_10']",Press SPACE to begin the next trial.,0,0,0,0,,,,,"['polygon_18', 'polygon_10']","[0.03277777777777778, 0.3788888888888889]","[-0.17833333333333334, 0.19555555555555557]","[1, 1]","[0, 0]","[0, 0]","[0.4154756999996607, 1.4322692999994615]","['polygon_18', 'polygon_10']",1,1,,001,2019_Oct_01_1239,BLS_Clickable_Boxes,3.2.3,59.98695883514261,
2,2,"2, 3","['polygon_19', 'polygon_2']",Press SPACE to begin the next trial.,0,1,1,1,,,,,"['polygon_19', 'polygon_2']","[0.17777777777777778, -0.2544444444444444]","[-0.19, 0.3827777777777778]","[1, 1]","[0, 0]","[0, 0]","[0.4494787000003271, 1.3161500999995042]","['polygon_19', 'polygon_2']",1,1,,001,2019_Oct_01_1239,BLS_Clickable_Boxes,3.2.3,59.98695883514261,
3,2,"4, 5","['polygon_21', 'polygon_8']",Press SPACE to begin the next trial.,0,2,2,2,,,,,"['polygon_21', 'polygon_8']","[-0.3522222222222222, 0.02666666666666667]","[-0.3844444444444444, 0.19555555555555557]","[1, 1]","[0, 0]","[0, 0]","[0.8326094999993074, 3.233163400000194]","['polygon_21', 'polygon_8']",1,1,,001,2019_Oct_01_1239,BLS_Clickable_Boxes,3.2.3,59.98695883514261,
4,2,"6, 7","['polygon_3', 'polygon_7']","The next trial will have 3 locations.

Press SPACE to begin.",0,3,3,3,,,,,"['polygon_7', 'polygon_3']","[-0.1388888888888889, 0.06333333333333334]","[0.18555555555555556, 0.37166666666666665]","[1, 1]","[0, 0]","[0, 0]","[0.5836350000008679, 1.9323700000004465]","['polygon_7', 'polygon_3']",0,0,,001,2019_Oct_01_1239,BLS_Clickable_Boxes,3.2.3,59.98695883514261,
,,,,,,,,,,,,,"['polygon_9', 'polygon_8', 'polygon_7']","[0.15833333333333333, 0.017222222222222222, -0.205]","[0.21611111111111111, 0.1811111111111111, 0.13]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3329526000015903, 0.9163705000009941, 1.3830857000011747]","['polygon_9', 'polygon_8', 'polygon_7']",0,0,,,,,,,
