Running_Trial_Num,trial_length,rows,correct_seq,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1","['polygon_18', 'polygon_10']",0,0,0,0,"['polygon_18', 'polygon_10']","[-0.011111111111111112, 0.3811111111111111]","[-0.18555555555555556, 0.19111111111111112]","[1, 1]","[0, 0]","[0, 0]","[1.716358599999694, 2.9323051000001215]","['polygon_18', 'polygon_10']",1,1,,001,2019_Oct_01_1201,BLS_Clickable_Boxes,3.2.3,60.00164404523232,
2,2,"2, 3","['polygon_19', 'polygon_2']",0,1,1,1,"['polygon_19', 'polygon_2']","[0.19611111111111112, -0.1827777777777778]","[-0.16111111111111112, 0.42944444444444446]","[1, 1]","[0, 0]","[0, 0]","[3.3755197999998927, 4.992175800000041]","['polygon_19', 'polygon_2']",1,1,,001,2019_Oct_01_1201,BLS_Clickable_Boxes,3.2.3,60.00164404523232,
3,2,"4, 5","['polygon_21', 'polygon_8']",0,2,2,2,"['polygon_21', 'polygon_8']","[-0.39055555555555554, 0.03666666666666667]","[-0.39944444444444444, 0.20944444444444443]","[1, 1]","[0, 0]","[0, 0]","[3.2076193000002604, 4.291529099999934]","['polygon_21', 'polygon_8']",1,1,,001,2019_Oct_01_1201,BLS_Clickable_Boxes,3.2.3,60.00164404523232,
4,2,"6, 7","['polygon_3', 'polygon_7']",0,3,3,3,"['polygon_8', 'polygon_13']","[0.03666666666666667, 0.020555555555555556]","[0.20944444444444443, 0.03388888888888889]","[1, 1]","[0, 0]","[0, 0]","[1.6577750000005835, 2.3911846999999398]","['polygon_8', 'polygon_13']",0,0,,001,2019_Oct_01_1201,BLS_Clickable_Boxes,3.2.3,60.00164404523232,
5,3,"8, 9, 10","['polygon_22', 'polygon_5', 'polygon_9']",0,4,4,4,"['polygon_13', 'polygon_14']","[0.018333333333333333, 0.12777777777777777]","[0.03388888888888889, 0.03388888888888889]","[1, 1]","[0, 0]","[0, 0]","[0.9076383999999962, 1.691637300000366]","['polygon_13', 'polygon_14']",0,0,,001,2019_Oct_01_1201,BLS_Clickable_Boxes,3.2.3,60.00164404523232,
