Running_Trial_Num,trial_length,rows,correct_seq,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1","['polygon_18', 'polygon_10']",0,0,0,0,"['polygon_18', 'polygon_10']","[0.044444444444444446, 0.3383333333333333]","[-0.19055555555555556, 0.1361111111111111]","[1, 1]","[0, 0]","[0, 0]","[1.7304894999997487, 2.8140111000002435]","['polygon_18', 'polygon_10']",1,1,1,001,2019_Oct_01_1146,BLS_Clickable_Boxes,3.2.3,60.00326417732289,
2,2,"2, 3","['polygon_19', 'polygon_2']",0,1,1,1,"['polygon_19', 'polygon_2']","[0.225, -0.1738888888888889]","[-0.205, 0.36666666666666664]","[1, 1]","[0, 0]","[0, 0]","[3.2234441000000515, 4.624668299999939]","['polygon_19', 'polygon_2']",1,1,1,001,2019_Oct_01_1146,BLS_Clickable_Boxes,3.2.3,60.00326417732289,
3,2,"4, 5","['polygon_21', 'polygon_8']",0,2,2,2,,[],[],[],[],[],[],[],0,0,1,001,2019_Oct_01_1146,BLS_Clickable_Boxes,3.2.3,60.00326417732289,
4,2,"6, 7","['polygon_3', 'polygon_7']",0,3,3,3,"['polygon_21', 'polygon_8']","[-0.4077777777777778, -0.006666666666666667]","[-0.4116666666666667, 0.20833333333333334]","[1, 1]","[0, 0]","[0, 0]","[1.5920559000005596, 3.2417607000006683]","['polygon_21', 'polygon_8']",0,0,1,001,2019_Oct_01_1146,BLS_Clickable_Boxes,3.2.3,60.00326417732289,
