span,trial,correct_seq,resp_locations.thisRepN,resp_locations.thisTrialN,resp_locations.thisN,resp_locations.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,participant,session,date,expName,psychopyVersion,frameRate,
2,1,"['polygon_18', 'polygon_10']",0,0,0,0,"['polygon_18', 'polygon_10']","[-0.013888888888888888, 0.3611111111111111]","[-0.22, 0.1988888888888889]","[1, 1]","[0, 0]","[0, 0]","[4.289163899999039, 5.524255599999378]","['polygon_18', 'polygon_10']",1,,001,2019_Sep_19_1603,BLS_Clickable_Boxes,3.2.3,59.99761209497235,
2,2,"['polygon_19', 'polygon_2']",0,1,1,1,"['polygon_15', 'polygon_9', 'polygon_8', 'polygon_13']","[0.3616666666666667, 0.19611111111111112, 0.021666666666666667, 0.04055555555555555]","[0.05555555555555555, 0.1527777777777778, 0.12444444444444444, 0.0077777777777777776]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2.224494500000219, 2.9408659000000625, 3.5896732000001066, 4.174330100000589]","['polygon_15', 'polygon_9', 'polygon_8', 'polygon_13']",0,,001,2019_Sep_19_1603,BLS_Clickable_Boxes,3.2.3,59.99761209497235,
