Running_Trial_Num,trial_length,rows,correct_seq,rdy_msg,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Stimuli.thisRepN,Stimuli.thisTrialN,Stimuli.thisN,Stimuli.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1","['polygon_18', 'polygon_10']",Press SPACE to begin the next trial.,0,0,0,0,,,,,"['polygon_18', 'polygon_10']","[0.016666666666666666, 0.40944444444444444]","[-0.18333333333333332, 0.19166666666666668]","[1, 1]","[0, 0]","[0, 0]","[0.3811628000003111, 1.3650385000000824]","['polygon_18', 'polygon_10']",1,1,,001,2019_Oct_01_1246,BLS_Clickable_Boxes,3.2.3,59.990197601492504,
2,2,"2, 3","['polygon_19', 'polygon_2']",Press SPACE to begin the next trial.,0,1,1,1,,,,,"['polygon_9', 'polygon_14']","[0.21944444444444444, 0.20944444444444443]","[0.21, 0.012222222222222223]","[1, 1]","[0, 0]","[0, 0]","[0.29888800000117044, 0.8488592000012432]","['polygon_9', 'polygon_14']",0,0,,001,2019_Oct_01_1246,BLS_Clickable_Boxes,3.2.3,59.990197601492504,
,,,,,,,,,,,,,"['polygon_14', 'polygon_13']",[0.02722222222222222],[0.0011111111111111111],[1],[0],[0],[0.532513400001335],['polygon_13'],0,0,,,,,,,
