Running_Trial_Num,trial_length,rows,resp_row,correct_seq,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Stimuli.thisRepN,Stimuli.thisTrialN,Stimuli.thisN,Stimuli.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1",1,"['polygon_18', 'polygon_10']",0,0,0,0,,,,,"['polygon_18', 'polygon_10']","[-0.03777777777777778, 0.4027777777777778]","[-0.17444444444444446, 0.17]","[1, 1]","[0, 0]","[0, 0]","[0.632058500000312, 1.9822903000003862]","['polygon_18', 'polygon_10']",0,0,,001,2019_Oct_01_1214,BLS_Clickable_Boxes,3.2.3,59.99012562520925,
2,2,"2, 3",1,"['polygon_19', 'polygon_2']",0,1,1,1,,,,,"['polygon_19', 'polygon_2']","[0.2311111111111111, -0.18333333333333332]","[-0.18222222222222223, 0.36944444444444446]","[1, 1]","[0, 0]","[0, 0]","[0.7161158999997497, 1.815364299999601]","['polygon_19', 'polygon_2']",0,0,,001,2019_Oct_01_1214,BLS_Clickable_Boxes,3.2.3,59.99012562520925,
