Running_Trial_Num,trial_length,rows,correct_seq,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1","polygon_18','polygon_10'",0,0,0,0,"['polygon_18', 'polygon_10']","[-0.0033333333333333335, 0.35444444444444445]","[-0.17944444444444443, 0.17]","[1, 1]","[0, 0]","[0, 0]","[0.7789851999996245, 1.6122384999998758]","['polygon_18', 'polygon_10']",0,0,1,001,2019_Oct_01_1144,BLS_Clickable_Boxes,3.2.3,59.90438062765609,
2,2,"2, 3","['polygon_19', 'polygon_2']",0,1,1,1,"['polygon_19', 'polygon_2']","[0.21611111111111111, -0.20722222222222222]","[-0.195, 0.35944444444444446]","[1, 1]","[0, 0]","[0, 0]","[4.408805699999903, 5.8752033999999185]","['polygon_19', 'polygon_2']",1,1,1,001,2019_Oct_01_1144,BLS_Clickable_Boxes,3.2.3,59.90438062765609,
3,2,"4, 5","['polygon_21', 'polygon_8']",0,2,2,2,"['polygon_2', 'polygon_18']","[-0.20722222222222222, 0.011111111111111112]","[0.35944444444444446, -0.22333333333333333]","[1, 1]","[0, 0]","[0, 0]","[2.2083943999996336, 3.1423658000003343]","['polygon_2', 'polygon_18']",0,0,1,001,2019_Oct_01_1144,BLS_Clickable_Boxes,3.2.3,59.90438062765609,
