Running_Trial_Num,trial_length,rows,span,trial,correct_seq,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Stimuli.thisRepN,Stimuli.thisTrialN,Stimuli.thisN,Stimuli.thisIndex,Responses.thisRepN,Responses.thisTrialN,Responses.thisN,Responses.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1",2,1,"['polygon_18', 'polygon_10']",0,0,0,0,,,,,0,0,0,0,"['polygon_18', 'polygon_10']","[-0.010555555555555556, 0.3888888888888889]","[-0.21388888888888888, 0.16944444444444445]","[1, 1]","[0, 0]","[0, 0]","[2.3073040000001583, 3.5073428000000604]","['polygon_18', 'polygon_10']",1,1,,001,2019_Oct_01_1033,BLS_Clickable_Boxes,3.2.3,60.00632466658889,
1,2,"0, 1",2,2,"['polygon_19', 'polygon_2']",0,0,0,0,,,,,0,1,1,1,"['polygon_18', 'polygon_10']","[-0.017222222222222222, 0.4161111111111111]","[-0.18166666666666667, 0.14944444444444444]","[1, 1]","[0, 0]","[0, 0]","[6.092721399999846, 6.941892299999836]","['polygon_18', 'polygon_10']",0,0,,001,2019_Oct_01_1033,BLS_Clickable_Boxes,3.2.3,60.00632466658889,
