Running_Trial_Num,trial_length,rows,correct_seq,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,Stimuli.thisRepN,Stimuli.thisTrialN,Stimuli.thisN,Stimuli.thisIndex,clickSequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,seq.corr,score,participant,session,date,expName,psychopyVersion,frameRate,
1,2,"0, 1","['polygon_18', 'polygon_10']",0,0,0,0,,,,,"['polygon_18', 'polygon_10']","[-0.027777777777777776, 0.3561111111111111]","[-0.20277777777777778, 0.2061111111111111]","[1, 1]","[0, 0]","[0, 0]","[2.0482050000000527, 2.7980570999998235]","['polygon_18', 'polygon_10']",0,0,,001,2019_Oct_01_1116,BLS_Clickable_Boxes,3.2.3,59.96498045123221,
2,2,"2, 3","['polygon_19', 'polygon_2']",0,1,1,1,,,,,"['polygon_19', 'polygon_3']","[0.22444444444444445, -0.02277777777777778]","[-0.23944444444444443, 0.4272222222222222]","[1, 1]","[0, 0]","[0, 0]","[1.9489224999997532, 3.2164081999999325]","['polygon_19', 'polygon_3']",0,0,,001,2019_Oct_01_1116,BLS_Clickable_Boxes,3.2.3,59.96498045123221,
